Organizartion,Type
Starbucks,Food
Cafe Coffee Day,Food
Faasos,Food
Haldiram’s,Food
Naturals,Food
Vadilal,Food
Burger King,Food
Domino’s,Food
Pizza Hut,Food
KFC,Food
McDonalds,Food
Subway,Food
Barbeque Nation,Food
Jumbo King,Food
Tibbs Frankie,Food
The J’s,Food
Cream Centre,Food
The American Joint,Food
Jimis Burger,Food
Baskin Robins,Food
5 Spice,Food
Mainland China,Food
Madras Cafe,Food
Pure Milk Centre,Food
Mobile,Shopping
Blazzer,Shopping
Shoes,Shopping
Sandals,Shopping
Flip Flops,Shopping
Socks,Shopping
Watches,Shopping
Sunglasses,Shopping
Bags,Shopping
Luggage,Shopping
Grooming Kit,Shopping
Wallet,Shopping
Belt,Shopping
T-Shirt,Shopping
Shirt,Shopping
Trousers,Shopping
Suits,Shopping
Jeans,Shopping
Headphones,Shopping
Earphones,Shopping
Ipod,Shopping
Speakers,Shopping
Television,Shopping
Movie,Entertainment
Gaming,Entertainment
Concerts,Entertainment
Vacation,Entertainment
Trip,Entertainment
Party,Entertainment
Subscriptions,Entertainment
Gym,Personal
Salon,Personal
